"4,3,5,1,5,1","1,2,3,4,5,6","39502,20459,17678,11553,10258,9906","9394,4806,3902,3342,4195,4222",A1OETDVW3RI9JF,Desktop,25 - 31,Cable network,None,1
"5,2,1,1,2,1","1,2,3,4,5,6","71188,15363,25311,5609,17445,15665","30542,15985,7403,6435,4278,6494",A1XK36X81DV7XS,Desktop,46 - 52,Cable network,NONE,1
"5,4,4,2,2,1","1,2,3,4,5,6","43343,11533,11791,10697,9207,6290","16192,2653,6874,9430,2677,8978",A2E2UARVOVDR9Y,Desktop,32 - 38,Other,"Well, the first video was much longer, so it would make sense the following 5 were not the full video since they were so much shorter",1
"3,5,4,3,4,3","1,2,3,4,5,6","6512,11497,11365,10475,13723,13012","7322,12457,6144,3350,4004,6786",A2M8LILG4AII22,Desktop,25 - 31,Cable network,NONE,1
"5,5,5,5,5,5","1,2,3,4,5,6","30309,12879,11702,11194,12185,10881","6935,5411,4975,4547,4681,4954",A3NNWJI1G86RJ2,Laptop,25 - 31,Cable network,none,1
"5,5,5,5,5,5","1,2,3,4,5,6","67746,11051,17722,9164,10209,13249","3456,3601,4101,4280,3393,4939",A3PQ5Q456J981M,Desktop,25 - 31,Cable network,none,1
"5,3,3,4,1,5","1,2,3,4,5,6","37806,12247,80309,10219,9914,10487","7625,3445,3288,3392,3560,4673",A3W5BTNHDA9U64,Laptop,25 - 31,Cable network,None,1
"4,5,4,4,4,4","1,2,3,4,5,6","36732,9190,16573,12379,16394,11777","4976,4223,4251,3781,3820,4356",A6FFJG03FFRAL,Laptop,18 - 24,WiFi,it is very usefull,1
"5,4,5,5,5,5","1,2,3,4,5,6","32339,14547,10631,11571,11011,12328","13200,4729,5354,4071,4018,6133",A8WWSKUYQ4X5N,Desktop,25 - 31,Cable network,None,1
"5,4,3,2,1,2","1,2,3,4,5,6","46808,91289,10276,24089,10224,13601","72536,6880,9429,10616,29824,33277",ANYJ22IOQKAX3,Laptop,18 - 24,WiFi,None,1
"4,4,2,4,2,4","1,2,3,4,5,6","80368,36618,19238,27957,21984,17961","48804,32308,45864,11700,12137,11559",AOIA4GWEH0CS5,Laptop,39 - 45,WiFi,the quality of the video,1
"3,4,3,4,3,4","1,2,3,4,5,6","27165,11192,12134,10092,22139,11118","7007,3969,5800,4545,8839,4117",ARST2LTB56CAB,Desktop,25 - 31,Cable network,none,1
"5,5,5,5,5,5","1,2,3,4,5,6","6154,22581,10863,19972,16829,18279","8115,5714,5621,5631,4976,5445",ARYUE9CK1139G,Laptop,25 - 31,WiFi,NONE,1
"5,5,5,5,5,5","1,2,3,4,5,6","45375,22726,20652,13472,19801,25895","4632,3445,3973,3598,5389,4109",ATXUM0GBU5MC8,Laptop,25 - 31,Cable network,None,1
"5,5,5,5,5,5","1,2,3,4,5,6","120376,14684,16088,14997,14624,9557","37636,11330,5427,8641,3437,3900",AW2HEHEFKRGR6,Laptop,25 - 31,Cellular network,None,1
"5,4,5,-1,0,5",n,"25000,5000,5000,5000,5000,5000",,,,,,,
"5,5,5,1,3,5","1,2,3,4,5,6","42195,11692,12177,13159,13005,10269","24750,13112,6967,6002,4221,4187",A121T4P5NKCHCS,Desktop,53 - 59,Other,"Shots on goal are important to watch, shots of players standing around are not",
"5,3,4,2,2,5","1,2,3,4,5,6","43709,9938,9064,9281,8487,8481","16320,12471,4836,4239,4175,2416",A12IHTKQFQIPD1,Desktop,32 - 38,Cable network,Whether it contained any sports action.,
"5,5,5,5,4,5","1,2,3,4,5,6","30081,9158,12258,7846,18413,8292","4146,2588,2417,2387,3689,2762",A1QOMPJQC9M6UO,Desktop,32 - 38,WiFi,None,
"5,5,5,5,5,5","1,2,3,4,5,6","34740,10804,31743,9049,11356,8927","3701,4418,3909,3869,4389,4265",A1VPSWYSCJYPEB,Laptop,25 - 31,Cable network,none,
"4,3,4,3,4,5","1,2,3,4,5,6","34463,12163,16533,5671,5392,9891","12460,11985,5338,3407,4641,3627",A1X7S1W2AAMCVT,Tablet,32 - 38,WiFi,What it showed happening.,
"4,4,4,2,4,4","1,2,3,4,5,6","83041,62229,26310,35507,29397,25053","29178,16122,34606,11841,10270,10919",A1ZZINLCZZYOH4,Desktop,46 - 52,Cable network,none,
"4,3,3,4,4,4","1,2,3,4,5,6","31880,18270,26023,13410,9340,9763","24194,14385,31577,8374,6114,15787",A20PV3RB3I0W8S,Desktop,25 - 31,Cable network,This video clip is very important because how they did foul are recorded from this video,
"5,2,4,3,2,4","1,2,3,4,5,6","37374,11691,10035,8904,10007,10322","14305,11105,28086,4837,3863,3636",A215U3DIT24TIL,Desktop,25 - 31,Cable network,to understand the match how this video is helpful is that,
"5,3,4,4,2,4","1,2,3,4,5,6","50103,13518,8944,10657,13074,9850","20553,27454,8014,4046,7588,24748",A2519LCLPN7Y6I  ,Smartphone,32 - 38,Wi-fi,nenhum,
"5,5,5,5,5,5","1,2,3,4,5,6","37227,19075,28147,19630,11404,39552","4749,4814,4120,4764,4003,4097",A2DOVCLZX0GLLZ,Laptop,32 - 38,Cable network,None,
"5,5,5,5,5,5","1,2,3,4,5,6","54998,31259,40257,16533,61851,80237","14319,27188,12146,5081,6605,33008",A2EBYJVHW8NGM2,Desktop,25 - 31,Cable network,None,
"5,3,3,3,3,4","1,2,3,4,5,6","34726,27686,11043,10576,9971,8303","3496,4791,2289,2913,2873,4166",A2KWEVSI7P1RGQ,Desktop,25 - 31,Cable network,NONE,
"5,3,3,3,3,3","1,2,3,4,5,6","43149,71813,12667,22981,14940,14033","7822,5162,5650,5318,11182,5322",A2Q1HFLM62BRMB,Desktop,32 - 38,Cable network,None,
"5,5,5,5,5,5","1,2,3,4,5,6","38186,26273,11218,15462,16286,14448","15459,11568,5785,4876,4727,4074",A2WJMGV0HKQG3Z,Laptop,60 and above,Cable network,length of time and the action taking place,
"5,1,1,1,3,4","1,2,3,4,5,6","14704,9150,15815,5624,9011,5572","15393,12458,5784,6392,12289,5860",A36VE0W154IHO7,Laptop,32 - 38,WiFi,based on the moment on it,
"5,3,4,2,4,4","1,2,3,4,5,6","51182,13579,10693,12723,23692,11536","39703,23856,5438,4653,9179,3102",A397K04YEICKVH,Laptop,32 - 38,WiFi,"the excitment of the moments, gol lost or effective gol.",
"4,4,4,5,4,4","1,2,3,4,5,6","69625,17350,48039,11804,20167,12941","18898,6244,9608,4972,3945,3646",A39AQAOIVMC9OC,Desktop,39 - 45,Cellular network,good,
"5,4,5,2,4,5","1,2,3,4,5,6","35619,14887,11261,11964,12281,14000","17023,14624,6445,4465,4350,5249",A3F9N2P4NUUR7S,Desktop,32 - 38,Cellular network,The goal point,
"5,4,5,2,1,5","1,2,3,4,5,6","29231,10309,8545,8348,9440,8114","16933,15210,5286,4085,2313,2874",A3GEL5PWFIK05S,Laptop,25 - 31,WiFi,If it was the most important part of the full video,
"5,4,4,4,4,5","1,2,3,4,5,6","34848,13440,16731,34065,12553,11828","9739,5130,6775,10340,6000,7954",A3GGA7I8AFZ8KZ,Laptop,32 - 38,WiFi,None,
"5,4,4,1,2,4","1,2,3,4,5,6","42575,23560,14082,14571,13815,12523","26493,26260,10055,7714,7052,9786",A3GSIZ2GX4L1Z3,Laptop,39 - 45,WiFi,How one defends the goal and also how one puts a goal,
"4,3,3,3,3,3","1,2,3,4,5,6","63798,58189,39125,25434,26073,26171","3175,6687,2734,2773,2747,2629",A3GZIHJPEIS2JP,Laptop,25 - 31,WiFi,None,
"5,4,4,4,4,3","1,2,3,4,5,6","338971,9212,22525,8788,8664,10087","6074,2692,2874,3194,2448,2464",A3J08ETUZNPUF3,Desktop,25 - 31,Cable network,none,
"5,5,5,5,5,5","1,2,3,4,5,6","213978,14868,16353,18321,19393,27540","9492,4595,3230,3219,8851,9690",A3J2875P6N7IZ3,Laptop,46 - 52,WiFi,good,
"5,2,2,4,3,4","1,2,3,4,5,6","118982,98755,8708,7468,8021,8245","22651,54712,8924,5146,4695,11024",A3JUAU2JL5OZ8D,Desktop,32 - 38,Cable network,important,
"5,5,4,2,3,3","1,2,3,4,5,6","100727,9748,8232,8052,8978,8600","86401,2707,3041,2468,3202,3000",A3K6LZAQZOAPB2,Desktop,25 - 31,Cable network,none,
"5,3,4,4,4,3","1,2,3,4,5,6","31039,11385,10015,9875,10287,8312","5165,37209,3211,4882,2749,2996",A3NBJ2WSWYJPWY,Desktop,25 - 31,Cable network,None,
"5,2,2,1,1,2","1,2,3,4,5,6","31255,9532,9204,8890,9255,9469","4566,7383,3988,3365,3367,9313",A3QQD8CMGDUN8X,Desktop,32 - 38,WiFi,none,
"5,3,4,4,4,5","1,2,3,4,5,6","65480,23808,29841,34694,25248,2232","21875,30391,15404,6062,72338,2777",A4GNG63HZBEJ3,Laptop,32 - 38,WiFi,If the clips contained interesting or important events leading to the game outcome,
"4,3,4,2,2,4","1,2,3,4,5,6","41417,95496,27772,36396,42582,14040","19469,13859,9456,6340,8102,10015",A4PFF3LK637YM,Smartphone,18 - 24,Wi-fi,"entertainment, importance of the bid",
"5,4,5,4,5,5","1,2,3,4,5,6","62455,22572,24213,21080,24342,34346","17928,23251,5747,5247,38976,8158",A8AK4WHNZS755,Desktop,39 - 45,Cable network,none,
"4,5,4,3,5,4","1,2,3,4,5,6","146120,26914,34847,14886,53266,56067","6191,6034,18568,4222,12479,4979",AAHOPJAJU4986,Laptop,32 - 38,WiFi,none,
"5,4,5,4,4,5","1,2,3,4,5,6","114648,24318,2339,14309,7333,8182","8919,4393,7808,30786,7806,3726",AMAFSYF3T9WYL,Desktop,32 - 38,Cable network,none,
"4,3,3,3,2,3","1,2,3,4,5,6","142704,46305,46109,16064,19027,9863","14132,9834,16982,7312,4175,4423",ARN9ET3E608LJ,Laptop,25 - 31,WiFi,None,
"4,4,5,4,5,5","1,2,3,4,5,6","15213,7185,11195,7751,7578,7577","3412,3531,3192,3654,3521,3569",AYMJAMX7Z7YHG,Desktop,25 - 31,Cable network,none,

